"Timestep","M","SmoothM"
0,0.064274027155945,0.0645385211375712
0.2002002002002,0.0613037873550676,0.0648632497175811
0.4004004004004,0.0641466399792715,0.0651879654521848
0.600600600600601,0.0589919402176669,0.0655126554964842
0.800800800800801,0.0585089704604894,0.0658373070065976
1.001001001001,0.0631362093162916,0.0661619071401674
1.2012012012012,0.0690812319866983,0.0664864430568683
1.4014014014014,0.0635373732660835,0.0668109019189155
1.6016016016016,0.0687298282275779,0.0671352708915721
1.8018018018018,0.0709529373068449,0.067459537143657
2.002002002002,0.0618247548301975,0.0677836878480525
2.2022022022022,0.0723411202661401,0.0681077101822117
2.4024024024024,0.0665793764487849,0.0684315913286654
2.6026026026026,0.0657185692800595,0.0687553184755299
2.8028028028028,0.0640256150482582,0.069078878817013
3.003003003003,0.0642295314985547,0.0694022595539208
3.2032032032032,0.0731354244626374,0.0697254478941643
3.4034034034034,0.0680510667944372,0.0700484310532652
3.6036036036036,0.0736188024989169,0.0703711962548614
3.8038038038038,0.0769354594855735,0.0706937307312129
4.004004004004,0.0726082236392705,0.0710160217237064
4.2042042042042,0.0657592079031404,0.0713380564833603
4.4044044044044,0.0695105577210481,0.0716598222713288
4.6046046046046,0.0817896958218911,0.0719813063594059
4.8048048048048,0.0775886179452642,0.072302496030529
5.00500500500501,0.0676370934376968,0.0726233785792817
5.20520520520521,0.0757658829647396,0.0729439413123968
5.40540540540541,0.0775985893601536,0.073264171549258
5.60560560560561,0.0727473371607206,0.0735840566224016
5.80580580580581,0.0785597709153113,0.0739035838780178
6.00600600600601,0.0689127944721489,0.0742227406764511
6.20620620620621,0.0751413260101318,0.0745415143927003
6.40640640640641,0.0671821312089394,0.0748598924169179
6.60660660660661,0.0773086716032124,0.0751778621549089
6.80680680680681,0.0710645189850564,0.0754954110286291
7.00700700700701,0.0777700454989577,0.0758125264766825
7.20720720720721,0.0783137521292619,0.0761291959548185
7.40740740740741,0.06564985646819,0.0764454069364275
7.60760760760761,0.0724700814998455,0.0767611469130371
7.80780780780781,0.073740698156771,0.0770764033948066
8.00800800800801,0.0659569690953929,0.077391163911021
8.20820820820821,0.0760744714537954,0.0777054160105843
8.40840840840841,0.0757551706928421,0.0780191472625125
8.60860860860861,0.077422446255435,0.0783323452564245
8.80880880880881,0.071796846900431,0.0786449976030337
9.00900900900901,0.0814354360359493,0.0789570919346379
9.20920920920921,0.0733095282596712,0.0792686159056084
9.40940940940941,0.0815224966101824,0.0795795571928786
9.60960960960961,0.0785921448826127,0.0798899034964311
9.80980980980981,0.0691974713197123,0.0801996425397847
10.01001001001,0.0712783292062932,0.0805087620704798
10.2102102102102,0.0841920582397206,0.080817249860563
10.4104104104104,0.0846575316261629,0.0811250937070708
10.6106106106106,0.0834038097161162,0.0814322814325127
10.8108108108108,0.0826580842559702,0.0817388008853523
11.011011011011,0.0829879295305747,0.0820446399404886
11.2112112112112,0.0781218133206744,0.082349786499735
11.4114114114114,0.0888740996429874,0.0826542284922986
11.6116116116116,0.0899161556888233,0.082957953875257
11.8118118118118,0.0769109730228307,0.083260950634035
12.012012012012,0.0935083617429898,0.0835632067828801
12.2122122122122,0.0844130284418057,0.0838647103653362
12.4124124124124,0.0907976669951876,0.0841654494547166
12.6126126126126,0.0771061214398233,0.0844654121545762
12.8128128128128,0.0828779118384628,0.0847645865991817
13.013013013013,0.085102542554315,0.0850629609539811
13.2132132132132,0.0876584900232769,0.0853605234160718
13.4134134134134,0.0829146401333491,0.0856572622146676
13.6136136136136,0.082701521596894,0.0859531656115643
13.8138138138138,0.0870212460184508,0.0862482219016038
14.014014014014,0.0952556903709238,0.0865424194131376
14.2142142142142,0.0906476084158453,0.0868357465084879
14.4144144144144,0.0890442501349264,0.0871281915844085
14.6146146146146,0.0817570430590677,0.0874197430725435
14.8148148148148,0.0996734162254048,0.0877103894398849
15.015015015015,0.0805103633265012,0.088000119189229
15.2152152152152,0.0891692765905581,0.0882889208596309
15.4154154154154,0.0861406252028228,0.0885767830268584
15.6156156156156,0.079870722300274,0.0888636943038432
15.8158158158158,0.0895930630895901,0.089149643341132
16.016016016016,0.0878736333402535,0.089434618827335
16.2162162162162,0.0956948838375899,0.0897186094895735
16.4164164164164,0.089762580206985,0.0900016040939259
16.6166166166166,0.0873990782049668,0.090283591445872
16.8168168168168,0.0885551873859718,0.0905645603907359
17.017017017017,0.0828793354044969,0.0908444998141272
17.2172172172172,0.091666087441637,0.0911233986423805
17.4174174174174,0.0831323790206079,0.0914012458429938
17.6176176176176,0.0822254370055084,0.0916780304250646
17.8178178178178,0.0958487260246554,0.0919537414397248
18.018018018018,0.0876204619033944,0.0922283679805739
18.2182182182182,0.09528606892226,0.0925018991841101
18.4184184184184,0.0878254171736709,0.0927743242301605
18.6186186186186,0.103381956680031,0.0930456323423087
18.8188188188188,0.0898753636469347,0.0933158127883213
19.019019019019,0.0893741466142184,0.0935848548805725
19.2192192192192,0.0984509867913165,0.0938527479764667
19.4194194194194,0.0931108898167438,0.0941194814788594
19.6196196196196,0.0887209933025827,0.0943850448364769
19.8198198198198,0.0892675807044882,0.0946494275443331
20.02002002002,0.0986991406758803,0.0949126191441454
20.2202202202202,0.0977997900887873,0.0951746092247481
20.4204204204204,0.0880023619228742,0.0954353874225047
20.6206206206206,0.0894583608958788,0.0956949434217174
20.8208208208208,0.103355117405502,0.0959532669550354
21.021021021021,0.103644751330955,0.0962103478038612
21.2212212212212,0.0993158246029572,0.0964661757987542
21.4214214214214,0.0979760232487417,0.0967207408198337
21.6216216216216,0.0964448379922248,0.0969740327971789
